Indicator,Indicator_Name,Year,Baseline_Forecast,Event_Impact,Augmented_Forecast,Uncertainty,CI_Lower,CI_Upper,Event_Count
ACC_OWNERSHIP,Account Ownership Rate,2025,54.816849816848844,5.200000000000003,60.01684981684885,24.77501242150525,47.62934360609622,72.40435602760147,1
ACC_OWNERSHIP,Account Ownership Rate,2026,57.661172161171635,5.200000000000003,62.86117216117164,20.39754884858315,52.66239773688007,73.05994658546321,0
ACC_OWNERSHIP,Account Ownership Rate,2027,60.505494505493516,5.200000000000003,65.70549450549352,21.28374987403174,55.06361956847765,76.34736944250939,0
ACC_MM_ACCOUNT,Mobile Money Account Ownership,2025,11.033333333333303,0.0,11.033333333333303,0.0,11.033333333333303,11.033333333333303,0
ACC_MM_ACCOUNT,Mobile Money Account Ownership,2026,12.616666666666333,0.0,12.616666666666333,0.0,12.616666666666333,12.616666666666333,0
ACC_MM_ACCOUNT,Mobile Money Account Ownership,2027,14.199999999999818,0.0,14.199999999999818,0.0,14.199999999999818,14.199999999999818,0
