Indicator,Indicator_Name,Year,Baseline_Forecast,CI_Lower,CI_Upper,CI_Width
ACC_OWNERSHIP,Account Ownership Rate,2025,54.816849816848844,45.02934360609622,64.60435602760147,19.57501242150525
ACC_OWNERSHIP,Account Ownership Rate,2026,57.661172161171635,47.46239773688006,67.8599465854632,20.39754884858315
ACC_OWNERSHIP,Account Ownership Rate,2027,60.505494505493516,49.863619568477645,71.14736944250939,21.28374987403174
ACC_MM_ACCOUNT,Mobile Money Account Ownership,2025,11.033333333333303,,,
ACC_MM_ACCOUNT,Mobile Money Account Ownership,2026,12.616666666666333,,,
ACC_MM_ACCOUNT,Mobile Money Account Ownership,2027,14.199999999999818,,,
